type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/toIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value,tokenTransfer/4/index,tokenTransfer/4/token,tokenTransfer/4/tokenAddr,tokenTransfer/4/tokenSymbol,tokenTransfer/4/tokenDecimals,tokenTransfer/4/tokenInfo/h,tokenTransfer/4/tokenInfo/f,tokenTransfer/4/tokenInfo/s,tokenTransfer/4/tokenInfo/d,tokenTransfer/4/from,tokenTransfer/4/to,tokenTransfer/4/value,traceErr,receiptErr,tokenTransfer/2/tokenInfo/c,tokenTransfer/2/valueIsNft,callTransfer/1/toIsContract,callTransfer/2/index,callTransfer/2/fromIsContract,callTransfer/2/toIsContract,callTransfer/2/from,callTransfer/2/to,callTransfer/2/value,callTransfer/2/gasUsed,callTransfer/2/gasLimit,callTransfer/3/index,callTransfer/3/fromIsContract,callTransfer/3/from,callTransfer/3/to,callTransfer/3/value,callTransfer/3/gasUsed,callTransfer/3/gasLimit,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,18,1628512799,0x77380913cb2272493f62017b514d74fea0af3316c9d595e1695e7109d4a74c45,0.0015178131,523,0x80d87340e754bf2ec226f8ad948f831bef57a261,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,65364,1,51300000000,212067,0,29587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,19,1628512799,0xa955fc529dbaa5938633aeb5c3e5aacc03e2e5a3a1766794b7c0f9357d9dcd69,0.0015151455,523,0x60530f5ca4cb9907e0fbe67ca3afcbfe56d19a5c,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,72050,1,51300000000,212015,0,29535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,2,1628512799,0xc9181cb9d33644a78c4c603a1e4778e945937fd81c0d0ee93c255e54012dcb4a,0.022755391208205138,523,0x15dce17509846b420b1f5c158fe3d7518204abb6,0x0000000000f4def5f3572c846b1483daf4588d8f,8773,1,185609807731,190830,0,122598,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x0000000000f4def5f3572c846b1483daf4588d8f,0xf04543fbf20daee9b0357db966428ef2a4ae0f5a,1250781250000000000,2,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,FTX Token,18,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,FTT,FTX Token,18,0xf04543fbf20daee9b0357db966428ef2a4ae0f5a,0x7825de5586e4d2fd04459091bbe783fa243e1bf3,83595496155479718065,,,,,,,,,,,,,,,,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x7825de5586e4d2fd04459091bbe783fa243e1bf3,0x0000000000f4def5f3572c846b1483daf4588d8f,1274845015661146802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,20,1628512799,0x8db04a0637ab3888cdafd52c41b4fcd9bcefd0a2c252d540733bb86f4fb0a734,0.01443848032795493,523,0x29403201a963a04bc0cde1aaa1f002ba805f6bfd,0x10541b07d8ad2647dc6cd67abd4c03575dade261,192,1,48795959134,297143,0,295895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,21,1628512799,0x6e5107c7dbc08daf8bbabf4e76e7f2dab40fe8d261118a543db2da8a269e3c59,0.002167123,523,0x1062a747393198f70f71ec65a582423dba7e5ab3,0xdac17f958d2ee523a2206206994597c13d831ec7,1906201,1,47000000000,105000,0,46109,21,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x1062a747393198f70f71ec65a582423dba7e5ab3,0xa3bce66d8782df1493d98c0f4dc03aa71809130e,3085775193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,22,1628512799,0x67ed19f0fa41a1512b59760e134b0fdefb64c889509e596c8e185a772c2df2fe,0.000977624070549,523,0xe657584d48a525b6d3a1bb83265e30a3db615233,0xe657584d48a525b6d3a1bb83265e30a3db615233,2141,,46553527169,300000,0,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,23,1628512799,0xc59ba196b7b6a2753ea13863c32b9f7a17daddd73a0c74b22362028eb50dc925,0.00136321,523,0xa09265c7ae2f2ebaff1045d28a350bf56b6311a1,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,2,1,46000000000,68870,0,29635,23,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,0,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Smooth Love Potion,SLP,0,0xa09265c7ae2f2ebaff1045d28a350bf56b6311a1,0x28c6c06298d514db089934071355e5743bf21d60,4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,24,1628512799,0x9a63a323b9b7f90ef6f9d6fe040781a269a955c3c63864181766aaa2c85f3c0a,0.002121014,523,0xab5c66752a9e8167967685f1450532fb96d5d24f,0xdac17f958d2ee523a2206206994597c13d831ec7,1881541,1,46000000000,105000,0,46109,24,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0xab5c66752a9e8167967685f1450532fb96d5d24f,0x0ee5a83a176b9bb0e58fb75a505ed8e0a10a0049,95853851616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,25,1628512799,0xfa300691715cf3eb83d84a4b39959159e787c0d98aa33cc0e06148a30996fdb1,0.001967625,523,0x8a85bee144f448baed319502171c2c5e10a693dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,4,1,45000000000,97584,0,43725,25,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,6,0x8a85bee144f448baed319502171c2c5e10a693dc,0x28c6c06298d514db089934071355e5743bf21d60,15000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,26,1628512799,0x59be7b787343dce1cea144a71404a8702aa1a8e885c871dcde72972872855557,0.00727533,523,0xad25bcd8e09cf52e5a0cd5bb85dcb0a463ccfbe3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1,1,45000000000,225404,1,161674,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x8f3869c177090eace770396f9495424780c73537,1000000000000000000,26,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,PINT,18,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,pub.finance,PINT,18,0x8f3869c177090eace770396f9495424780c73537,0x3ad4e2f9574b5da2d054505a94fc31ee141c6338,0,26,1,1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1,23974,181688,,,,,,,,26,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,PINT,18,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,pub.finance,PINT,18,0x8f3869c177090eace770396f9495424780c73537,0x3ad4e2f9574b5da2d054505a94fc31ee141c6338,0,26,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,PINT,18,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,pub.finance,PINT,18,0x8f3869c177090eace770396f9495424780c73537,0xad25bcd8e09cf52e5a0cd5bb85dcb0a463ccfbe3,4981465071225351626917,26,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,PINT,18,0xfecba472b2540c5a2d3700b2c9e06f0aa7dc6462,pub.finance,PINT,18,0x3ad4e2f9574b5da2d054505a94fc31ee141c6338,0x7c704efdf67405a11f8ebad35de9a0149213e8dc,0,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,27,1628512799,0xc4d333e663972bbfbf9534577fad150f6117f0e550189ca3f2227828f58d2004,0.00094253750283,523,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x538d9848cccf80d9d38938dded5916f826d0b9dd,1380867,,44882738230,50000,0.022,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,28,1628512799,0x6e7eb6d1d87189ed1dc9e54bcdf8c8dc2efaa6f2c773646185b6231cf646f96f,0.002719376,523,0x69b2bc525b003afcb7bc8417da120fad0e72f459,0x11111112542d85b3ef69ae05771c2dccff4faa26,164,1,44000000000,331486,0,61804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reverted,Err status 0x0,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,29,1628512799,0xc835f2cf89dbc5350c1a2187bec4bbab5c7095b708dc43573443c6a9fe031b1b,0.00196287,523,0x5c7725e37920a253446c1bf7eb9b593431a0ef10,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,1,1,42000000000,77302,0,46735,29,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,SLP,0,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Smooth Love Potion,SLP,0,0x5c7725e37920a253446c1bf7eb9b593431a0ef10,0x9b90d462d013f2027117e67be31ab637c1a4c753,4244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,3,1628512799,0x9ad7d323c146bd40b75ae95b581db5532a746fd7faeefc3a37323c9bbd95d5e5,0.0096452,523,0xe7fc342dd42ac6043d90ed12a1d4bb139579ca64,0xbbd900e05b4af2124390d206f70bc4e583b1be85,1208,1,200000000000,200000,0,48226,3,0xbbd900e05b4af2124390d206f70bc4e583b1be85,0xbbd900e05b4af2124390d206f70bc4e583b1be85,MINTYS,9,0xbbd900e05b4af2124390d206f70bc4e583b1be85,MintySwap,MINTYS,9,0xe7fc342dd42ac6043d90ed12a1d4bb139579ca64,0x8bc8fd3d65f402ac1a8369d755aefa55948a260a,18009000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990984,12990984,0x3b5a954a796904c962f330bbb5e00d267e8235cb9660a1d3c41f0186e6298f29,30,1628512799,0xf4846f7d84769fcfd158808c40be0b57a9a4c562983394911f12cab686b2c23b,0.000882,523,0x422431af5644eb62e300ca49a5fd8f45f098ad22,0xfc2aece51e7e5381fa80b25d8aed3774b579cb10,46970,,42000000000,21000,0.01439618,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
