type,network,block_no,height,blockHash,index,time,txid,fee,confirmations,from,to,nonce,toIsContract,gasPrice,gasLimit,value,gasUsed,tokenTransfer/0/index,tokenTransfer/0/token,tokenTransfer/0/tokenAddr,tokenTransfer/0/tokenSymbol,tokenTransfer/0/tokenDecimals,tokenTransfer/0/tokenInfo/h,tokenTransfer/0/tokenInfo/f,tokenTransfer/0/tokenInfo/s,tokenTransfer/0/tokenInfo/d,tokenTransfer/0/from,tokenTransfer/0/to,tokenTransfer/0/value,tokenTransfer/1/index,tokenTransfer/1/token,tokenTransfer/1/tokenAddr,tokenTransfer/1/tokenSymbol,tokenTransfer/1/tokenDecimals,tokenTransfer/1/tokenInfo/h,tokenTransfer/1/tokenInfo/f,tokenTransfer/1/tokenInfo/s,tokenTransfer/1/tokenInfo/d,tokenTransfer/1/from,tokenTransfer/1/to,tokenTransfer/1/value,callTransfer/0/index,callTransfer/0/fromIsContract,callTransfer/0/from,callTransfer/0/to,callTransfer/0/value,callTransfer/0/gasUsed,callTransfer/0/gasLimit,callTransfer/1/index,callTransfer/1/fromIsContract,callTransfer/1/from,callTransfer/1/to,callTransfer/1/value,callTransfer/1/gasUsed,callTransfer/1/gasLimit,tokenTransfer/0/tokenInfo/c,tokenTransfer/0/valueIsNft,callTransfer/0/toIsContract,callTransfer/1/toIsContract,callTransfer/2/index,callTransfer/2/fromIsContract,callTransfer/2/toIsContract,callTransfer/2/from,callTransfer/2/to,callTransfer/2/value,callTransfer/2/gasUsed,callTransfer/2/gasLimit,callTransfer/3/index,callTransfer/3/fromIsContract,callTransfer/3/from,callTransfer/3/to,callTransfer/3/value,callTransfer/3/gasUsed,callTransfer/3/gasLimit,tokenTransfer/2/index,tokenTransfer/2/token,tokenTransfer/2/tokenAddr,tokenTransfer/2/tokenSymbol,tokenTransfer/2/tokenDecimals,tokenTransfer/2/tokenInfo/h,tokenTransfer/2/tokenInfo/f,tokenTransfer/2/tokenInfo/s,tokenTransfer/2/tokenInfo/d,tokenTransfer/2/from,tokenTransfer/2/to,tokenTransfer/2/value,tokenTransfer/3/index,tokenTransfer/3/token,tokenTransfer/3/tokenAddr,tokenTransfer/3/tokenSymbol,tokenTransfer/3/tokenDecimals,tokenTransfer/3/tokenInfo/h,tokenTransfer/3/tokenInfo/f,tokenTransfer/3/tokenInfo/s,tokenTransfer/3/tokenInfo/d,tokenTransfer/3/from,tokenTransfer/3/to,tokenTransfer/3/value,traceErr,receiptErr,callTransfer/0/traceErr,callTransfer/1/traceErr,tokenTransfer/4/index,tokenTransfer/4/token,tokenTransfer/4/tokenAddr,tokenTransfer/4/tokenSymbol,tokenTransfer/4/tokenDecimals,tokenTransfer/4/tokenInfo/h,tokenTransfer/4/tokenInfo/f,tokenTransfer/4/tokenInfo/s,tokenTransfer/4/tokenInfo/d,tokenTransfer/4/from,tokenTransfer/4/to,tokenTransfer/4/value,tokenTransfer/5/index,tokenTransfer/5/token,tokenTransfer/5/tokenAddr,tokenTransfer/5/tokenSymbol,tokenTransfer/5/tokenDecimals,tokenTransfer/5/tokenInfo/h,tokenTransfer/5/tokenInfo/f,tokenTransfer/5/tokenInfo/s,tokenTransfer/5/tokenInfo/d,tokenTransfer/5/from,tokenTransfer/5/to,tokenTransfer/5/value,tokenTransfer/6/index,tokenTransfer/6/token,tokenTransfer/6/tokenAddr,tokenTransfer/6/tokenSymbol,tokenTransfer/6/tokenDecimals,tokenTransfer/6/tokenInfo/h,tokenTransfer/6/tokenInfo/f,tokenTransfer/6/tokenInfo/s,tokenTransfer/6/tokenInfo/d,tokenTransfer/6/from,tokenTransfer/6/to,tokenTransfer/6/value
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,18,1628512860,0xd70131e6287eb7afc1554fd965752f3193fea7d03cd26398a0468e22d5713d61,0.004512652,588,0x2e3bd4e33281ec73b88233ab5f8b0e52a8d6f913,0xe592427a0aece92de3edee1f18e0157c05861564,80,1,38000000000,145466,0,118754,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,18,0x60594a405d53811d3bc4766596efd80fd545a270,0x2e3bd4e33281ec73b88233ab5f8b0e52a8d6f913,312419931318488231,18,0x6b175474e89094c44da98b954eedeac495271d0f,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,18,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0x2e3bd4e33281ec73b88233ab5f8b0e52a8d6f913,0x60594a405d53811d3bc4766596efd80fd545a270,974633244905624311227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,19,1628512860,0x9d4223f7560cdd02689906645ed91a03eb5bdc42db3aff770a0e15ab603e5a11,0.000791005762344,588,0x8d56f551b44a6da6072a9608d63d664ce67681a5,0xdbe7839fb66432e3f9db17bc312c033e5b6081ca,83944,,37666941064,21000,0.04712847,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,2,1628512860,0xfce0f86d4c5c4d1885e3f631cb05161c39eb522c160766f8dad1f1afddfe65d9,0.001635929,588,0x051e6c1579333d52424f955adde7de2561672ded,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,5544,1,47000000000,62547,0,34807,2,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,18,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIBA INU,SHIB,18,0x051e6c1579333d52424f955adde7de2561672ded,0x86904e32b0d7a8e1ab4dc4a02bae7ff93e9a2d33,7483500000000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,20,1628512860,0xaff639b0d18facce545afe3c79fc91c046850754f0b787f7da3eb6034fb41e69,0.00173829393675954,588,0x8a2e27106312a89161b4c6b3acf0e4c5784cbdf8,0x383518188c0c6d7730d91b2c03a03c837814a899,28,1,37632740940,46191,0,46191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,21,1628512860,0x55b20b159153575a0e1a621802583d20d0f32ce370a4ddfeb3fa765c5b7aeaeb,0.002355658307816748,588,0x1226050ae3f9652dd3370199ead7147e4b347776,0xdac17f958d2ee523a2206206994597c13d831ec7,656,1,37267767372,144000,0,63209,21,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,6,0x1226050ae3f9652dd3370199ead7147e4b347776,0xff8f28ccb13631bb58ecdd0dd3cd5871d2c0d4f2,50000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,22,1628512860,0x75fc3ea956ef6667b641ff166be73559659c61374a0d13f1805d9b8023ed9e51,0.00078225,588,0x292f04a44506c2fd49bac032e1ca148c35a478c8,0xedfa92c7f88fff8d8b9f9824294f6b53e4397fea,123454,,37250000000,21000,0.0018624,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,23,1628512860,0xab92c2ea6adc87111ce45910233a05aa7c92a6b9f78e65c5b10c6225bf8a27eb,0.00683998960534646,588,0x966a139f55aa56742298525bd7306c92d0c51cdd,0x2aa63cd0b28fb4c31fa8e4e95ec11815be07b9ac,365,1,37232740940,327280,0,183709,23,0xee9801669c6138e84bd50deb500827b776777d28,0xee9801669c6138e84bd50deb500827b776777d28,O3,18,0xee9801669c6138e84bd50deb500827b776777d28,O3 Swap Token,O3,18,0x966a139f55aa56742298525bd7306c92d0c51cdd,0x2aa63cd0b28fb4c31fa8e4e95ec11815be07b9ac,4529383096080000000000,23,0xee9801669c6138e84bd50deb500827b776777d28,0xee9801669c6138e84bd50deb500827b776777d28,O3,18,0xee9801669c6138e84bd50deb500827b776777d28,O3 Swap Token,O3,18,0x2aa63cd0b28fb4c31fa8e4e95ec11815be07b9ac,0x250e76987d838a75310c34bf422ea9f1ac4cc906,4529232301510000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,24,1628512860,0xefc7a6fa03732a926ff21fb457bf6121b23b8976a1cb03f435dc4f0f67fd1b65,0.00078188755974,588,0x6096868f9634a09f1b9860a2da884cee09452aba,0x8e03d0b9b77a9b0aab8c7e4cc0a01fff91ac1ac0,1663,,37232740940,21000,0.030654584252890171,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,25,1628512860,0xfc8dadfe38e4e85874ad9df0fc4a9e35df253bf5b6e3c10b82b30982f713b766,0.00078188755974,588,0x47dbb60daca1abc649f2d89edda83ec6ffc9bf43,0x4dd75c35ed6258dcedf76b3e34409b59406ceada,1,,37232740940,21000,0.29398564984236128,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,26,1628512860,0xdc30e3a01c526fac5ffcb3f1ffe185e106974df7bd1fcd58b40ce87cd57eb957,0.00181394190585586,588,0xc66cd4fd4018c3476b7314fca0b85e9e6c20be31,0x95aa5d2dbd3c16ee3fdea82d5c6ec3e38ce3314f,128,1,37232740940,58462,0,48719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tx,ETH,12990986,12990986,0x0f21273ab12ef93871cb79d6f02b7096c3d54222b6c01ccad9795388989a50cb,27,1628512860,0x2df3588da7af90ddacc24a3e196b17d6072ee7e5358aebc84b2630a7a1ae1d2d,0.000776631014691,588,0x542b52b223b86289ddcffe5b480ca4425aba6333,0x88aaec98e8f1b75c707d8c44949fa9f0a17eadef,4,,36982429271,21000,0.08,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
